,Unnamed: 0,old_api_id,item_id,item_name,leg_loc_id,brand_id,brand_name,item_description,updated_at,nf_ingredient_statement,nf_water_grams,nf_calories,nf_calories_from_fat,nf_total_fat,nf_saturated_fat,nf_trans_fatty_acid,nf_polyunsaturated_fat,nf_monounsaturated_fat,nf_cholesterol,nf_sodium,nf_total_carbohydrate,nf_dietary_fiber,nf_sugars,nf_protein,nf_vitamin_a_dv,nf_vitamin_c_dv,nf_calcium_dv,nf_iron_dv,nf_refuse_pct,nf_servings_per_container,nf_serving_size_qty,nf_serving_size_unit,nf_serving_weight_grams,allergen_contains_milk,allergen_contains_eggs,allergen_contains_fish,allergen_contains_shellfish,allergen_contains_tree_nuts,allergen_contains_peanuts,allergen_contains_wheat,allergen_contains_soybeans,allergen_contains_gluten,usda_fields
20,20,,d3ea164034ef98c0396cbc14,Apple Fritter,114.0,513fbc1283aa2dc80c000053,McDonald's,,2021-03-18T17:28:51.000Z,,,510.0,,29.0,12.0,0.0,,,0.0,360.0,58.0,3.0,28.0,5.0,,,,,,,1.0,Serving,,,,,,,,,,,
21,21,,d3ea164074473c7dd7c26e07,"Minute Maid Pink Lemonade Slushie, Small",114.0,513fbc1283aa2dc80c000053,McDonald's,,2021-03-18T17:28:51.000Z,,,190.0,,0.0,0.0,0.0,,,0.0,20.0,53.0,0.0,51.0,0.0,,,,,,,1.0,Serving,,,,,,,,,,,
22,22,,d3ea16407484c42dc950ce27,"Mocha Latte, Medium",114.0,513fbc1283aa2dc80c000053,McDonald's,,2021-03-18T17:28:52.000Z,,,380.0,,12.0,7.0,0.0,,,35.0,160.0,57.0,2.0,52.0,10.0,,,,,,,1.0,Serving,,,,,,,,,,,
23,23,,d3ea16409105babe792a3bc5,"Mocha Latte, Large",114.0,513fbc1283aa2dc80c000053,McDonald's,,2021-03-18T17:28:52.000Z,,,470.0,,16.0,9.0,0.0,,,45.0,200.0,70.0,2.0,64.0,13.0,,,,,,,1.0,Serving,,,,,,,,,,,
24,24,,d3ea1640a994787acffbae23,Quarter Pounder with Cheese Deluxe,114.0,513fbc1283aa2dc80c000053,McDonald's,,2021-03-18T17:28:51.000Z,,,630.0,,37.0,14.0,1.5,,,105.0,1210.0,44.0,3.0,11.0,30.0,,,,,,,1.0,Serving,,,,,,,,,,,
25,25,,d3ea1640f07b08ab979aefe6,"Caramel Frappe, Medium",114.0,513fbc1283aa2dc80c000053,McDonald's,,2021-03-18T17:28:51.000Z,,,510.0,,21.0,13.0,1.0,,,75.0,150.0,72.0,0.0,67.0,8.0,,,,,,,1.0,Serving,,,,,,,,,,,
26,26,,c6408349fd55c0abb61fe946,Blueberry Muffin,114.0,513fbc1283aa2dc80c000053,McDonald's,,2021-03-18T17:28:16.000Z,,,470.0,,22.0,3.5,0.0,,,35.0,360.0,64.0,2.0,36.0,6.0,,,,,,,1.0,Serving,,,,,,,,,,,
27,27,,ae495051f4042f9fabd0857a,"Chicken McNuggets, 40 Piece",114.0,513fbc1283aa2dc80c000053,McDonald's,Chicken & Fish - Chicken McNuggets&reg; (40 piece),2021-03-18T17:28:19.000Z,,,1660.0,,99.0,16.0,0.5,,,255.0,3350.0,102.0,4.0,0.0,92.0,,,,,,,40.0,Piece,646.0,,,,,,,,,,
28,28,,513fc9e73fe3ffd403001096,"Bacon, Egg & Cheese Bagel",114.0,513fbc1283aa2dc80c000053,McDonald's,"Breakfast - Bacon, Egg & Cheese Bagel",2021-03-18T17:28:15.000Z,,,590.0,,30.0,12.0,0.5,,,245.0,1320.0,56.0,2.0,7.0,25.0,,,,,,,1.0,Serving,191.0,,,,,,,,,,
29,29,,513fc9e73fe3ffd40300109c,Big Breakfast,114.0,513fbc1283aa2dc80c000053,McDonald's,Breakfast - Big Breakfast&reg; (Regular Size Biscuit),2021-03-18T17:28:15.000Z,,,760.0,,48.0,18.0,0.0,,,485.0,1530.0,57.0,3.0,3.0,26.0,,,,,,,1.0,Serving,269.0,,,,,,,,,,
30,30,,513fc9e73fe3ffd4030010b3,"Chocolate Shake, Medium",114.0,513fbc1283aa2dc80c000053,McDonald's,"McCafe, Desserts & Shakes - Chocolate McCaf&eacute; Shake (Medium)",2021-03-18T17:28:16.000Z,,,630.0,,17.0,11.0,1.0,,,70.0,310.0,104.0,1.0,89.0,14.0,,,,,,,1.0,Serving,,,,,,,,,,,
31,31,,513fc9e73fe3ffd4030010b8,"Coca-Cola, Medium",114.0,513fbc1283aa2dc80c000053,McDonald's,Beverages - Coca-Cola&reg; Classic (Medium),2021-03-18T17:28:16.000Z,,,210.0,,0.0,0.0,0.0,,,0.0,55.0,56.0,0.0,56.0,0.0,,,,,,,1.0,Serving,,,,,,,,,,,
32,32,,513fc9e73fe3ffd4030010be,"Diet Coke, Large",114.0,513fbc1283aa2dc80c000053,McDonald's,Beverages - Diet Coke&reg; (Large),2021-03-18T17:28:16.000Z,,,0.0,,0.0,0.0,0.0,,,0.0,20.0,1.0,0.0,0.0,0.0,,,,,,,1.0,Serving,,,,,,,,,,,
33,33,,513fc9e73fe3ffd4030010c0,"Diet Coke, Small",114.0,513fbc1283aa2dc80c000053,McDonald's,Beverages - Diet Coke&reg; (Small),2021-03-18T17:28:16.000Z,,,0.0,,0.0,0.0,0.0,,,0.0,10.0,0.0,0.0,0.0,0.0,,,,,,,1.0,Serving,,,,,,,,,,,
34,34,,513fc9e73fe3ffd4030010c5,Double Cheeseburger,114.0,513fbc1283aa2dc80c000053,McDonald's,Burgers & Sandwiches - Double Cheeseburger,2021-03-18T17:28:16.000Z,,,450.0,,24.0,11.0,1.5,,,85.0,1120.0,34.0,2.0,7.0,25.0,,,,,,,1.0,Serving,163.0,,,,,,,,,,
35,35,,513fc9e73fe3ffd4030010cb,Egg McMuffin,114.0,513fbc1283aa2dc80c000053,McDonald's,Breakfast - Egg McMuffin&reg;,2021-03-18T17:28:16.000Z,,,310.0,,13.0,6.0,0.0,,,250.0,770.0,30.0,2.0,3.0,17.0,,,,,,,1.0,Serving,136.0,,,,,,,,,,
36,36,,513fc9e73fe3ffd40300110a,"Iced French Vanilla Coffee, Small",114.0,513fbc1283aa2dc80c000053,McDonald's,"McCafe, Beverages - Iced Coffee-French Vanilla (Small)",2021-03-18T17:28:17.000Z,,,120.0,,5.0,3.5,0.0,,,20.0,50.0,19.0,0.0,17.0,2.0,,,,,,,1.0,Serving,,,,,,,,,,,
37,37,,513fc9e73fe3ffd40300110f,"Iced Coffee, Medium",114.0,513fbc1283aa2dc80c000053,McDonald's,"McCafe, Beverages - Iced Coffee-Regular (Medium)",2021-03-18T17:28:17.000Z,,,180.0,,7.0,4.5,0.0,,,25.0,65.0,30.0,0.0,28.0,2.0,,,,,,,1.0,Serving,,,,,,,,,,,
38,38,,513fc9e73fe3ffd403001111,"Iced Mocha, Large",114.0,513fbc1283aa2dc80c000053,McDonald's,McCafe - Iced Mocha (Large),2021-03-18T17:28:18.000Z,,,450.0,,15.0,9.0,0.0,,,45.0,180.0,69.0,2.0,62.0,11.0,,,,,,,1.0,Serving,,,,,,,,,,,
39,39,,513fc9e73fe3ffd40300111c,"Iced Tea, Medium",114.0,513fbc1283aa2dc80c000053,McDonald's,Beverages - Iced Tea (Medium),2021-03-18T17:28:18.000Z,,,0.0,,0.0,0.0,0.0,,,0.0,15.0,0.0,0.0,0.0,1.0,,,,,,,1.0,Serving,,,,,,,,,,,
40,40,,513fc9e73fe3ffd403001123,"Latte, Medium",114.0,513fbc1283aa2dc80c000053,McDonald's,McCafe - Latte (Medium),2021-03-18T17:28:18.000Z,,,190.0,,10.0,6.0,0.0,,,30.0,135.0,15.0,0.0,15.0,10.0,,,,,,,1.0,Serving,,,,,,,,,,,
41,41,,513fc9e73fe3ffd403001130,McDouble,114.0,513fbc1283aa2dc80c000053,McDonald's,Burgers & Sandwiches - McDouble,2021-03-18T17:28:18.000Z,,,400.0,,20.0,9.0,1.0,,,70.0,920.0,33.0,2.0,7.0,22.0,,,,,,,1.0,Serving,148.0,,,,,,,,,,
42,42,,513fc9e73fe3ffd40300113b,"Minute Maid Premium Orange Juice, Large",114.0,513fbc1283aa2dc80c000053,McDonald's,Beverages - Minute Maid&reg; Orange Juice (Large),2021-03-18T17:28:18.000Z,,,280.0,,0.0,0.0,0.0,,,0.0,5.0,65.0,0.0,58.0,4.0,,,,,,,1.0,Serving,,,,,,,,,,,
43,43,,513fc9e73fe3ffd403001178,Sausage Biscuit with Egg,114.0,513fbc1283aa2dc80c000053,McDonald's,Breakfast - Sausage Biscuit with Egg (Regular Size Biscuit),2021-03-18T17:28:16.000Z,,,530.0,,34.0,15.0,0.0,,,205.0,1140.0,38.0,2.0,3.0,17.0,,,,,,,1.0,Serving,164.0,,,,,,,,,,
44,44,,513fc9e73fe3ffd403001180,"World Famous Fries, Small",114.0,513fbc1283aa2dc80c000053,McDonald's,Snacks & Sides - Small French Fries,2021-03-18T17:28:16.000Z,,,220.0,,10.0,1.5,0.0,,,0.0,180.0,29.0,3.0,0.0,3.0,,,,,,,1.0,Serving,75.0,,,,,,,,,,
45,45,,513fc9e73fe3ffd40300119d,"Sweet Tea, Extra Small",114.0,513fbc1283aa2dc80c000053,McDonald's,Beverages - Sweet Tea (Child),2021-03-18T17:28:16.000Z,,,60.0,,0.0,0.0,0.0,,,0.0,10.0,15.0,0.0,15.0,0.0,,,,,,,1.0,Serving,,,,,,,,,,,
46,46,,69240416098aac7c6c050e01,"Minute Maid Blue Raspberry Slushie, Large",114.0,513fbc1283aa2dc80c000053,McDonald's,,2021-03-18T17:28:51.000Z,,,340.0,,0.0,0.0,0.0,,,0.0,40.0,92.0,0.0,91.0,0.0,,,,,,,1.0,Serving,,,,,,,,,,,
47,47,,69240416576759399f369732,"Iced Latte, Medium",114.0,513fbc1283aa2dc80c000053,McDonald's,,2021-03-18T17:28:51.000Z,,,120.0,,6.0,3.5,0.0,,,20.0,90.0,10.0,0.0,9.0,6.0,,,,,,,1.0,Serving,,,,,,,,,,,
48,48,,69240416a01fc90ef4b199e7,"Minute Maid Blue Raspberry Slushie, Small",114.0,513fbc1283aa2dc80c000053,McDonald's,,2021-03-18T17:28:52.000Z,,,190.0,,0.0,0.0,0.0,,,0.0,20.0,51.0,0.0,51.0,0.0,,,,,,,1.0,Serving,,,,,,,,,,,
49,49,,c6408349691f61313bbacdf4,"Minute Maid Fruit Punch Slushie, Medium",114.0,513fbc1283aa2dc80c000053,McDonald's,,2021-03-18T17:28:17.000Z,,,210.0,,0.0,0.0,0.0,,,0.0,30.0,58.0,0.0,57.0,0.0,,,,,,,1.0,Serving,,,,,,,,,,,
50,50,,c6408349cb1df3afabae93ea,"Iced Caramel Macchiato, Small",114.0,513fbc1283aa2dc80c000053,McDonald's,,2021-03-18T17:28:51.000Z,,,210.0,,6.0,3.5,0.0,,,20.0,260.0,32.0,0.0,29.0,6.0,,,,,,,1.0,Serving,,,,,,,,,,,
51,51,,c6408349f90f090bda3f71ff,"Iced French Vanilla Latte, Small",114.0,513fbc1283aa2dc80c000053,McDonald's,,2021-03-18T17:28:51.000Z,,,190.0,,6.0,3.5,0.0,,,20.0,85.0,28.0,0.0,26.0,7.0,,,,,,,1.0,Serving,,,,,,,,,,,
52,52,,d3ea1640140f906008eebea8,"Caramel Frappe, Small",114.0,513fbc1283aa2dc80c000053,McDonald's,,2021-03-18T17:28:51.000Z,,,420.0,,17.0,11.0,1.0,,,60.0,125.0,60.0,0.0,55.0,7.0,,,,,,,1.0,Serving,,,,,,,,,,,
