brand_name,item_name,brand_id,item_id,upc,item_type,item_description,nf_ingredient_statement,nf_calories,nf_calories_from_fat,nf_total_fat,nf_saturated_fat,nf_trans_fatty_acid,nf_polyunsaturated_fat,nf_monounsaturated_fat,nf_cholesterol,nf_sodium,nf_total_carbohydrate,nf_dietary_fiber,nf_sugars,nf_protein,nf_vitamin_a_dv,nf_vitamin_c_dv,nf_calcium_dv,nf_iron_dv,nf_potassium,nf_servings_per_container,nf_serving_size_qty,nf_serving_size_unit,nf_serving_weight_grams,images_front_full_url,updated_at,section_id
Pizza Inn,"Bavarian Cream Pizzert, Individual",513fbc1283aa2dc80c00055c,5266a3399f05a39eb30167cc,null,1,"Desserts - Bavarian Cream Pizzert, Individual",null,284,51,5.6,0.5,0.7,null,null,0,176,59,0.2,41,0.8,0,0,0,2,null,null,4,slices,null,null,2014-12-30T08:06:29+00:00,22195
Boston Pizza,Genovese Pesto - Individual Pizza,521b95434a56d006cae29705,53444b4c9a631f1645ecf898,null,1,GOURMET PIZZAS - INTERNATIONAL - Genovese Pesto - Individual Pizza,null,780,null,47,15,0.5,null,null,65,1320,60,6,3,33,25,80,60,35,null,null,369,g,null,null,2014-12-30T08:22:17+00:00,25169
Rally's,Strawberry Shake - Large,521b95454a56d006cae29a4f,52cdd1fd051cb9eb32017d67,null,1,SHAKES & TREATS - Strawberry Shake - Large,null,660,180,20,14,0.5,null,null,80,310,106,0,79,14,null,null,null,null,null,null,560,g,null,null,2014-12-30T08:15:20+00:00,23953
Souplantation & Sweet Tomatoes,Linguini w/ Clam Sauce,53433c36d84520603669e6fe,53444ac37395ed134519e729,null,1,HOT PASTAS & KITCHEN FAVORITES - Linguini w/ Clam Sauce,null,380,null,10,7,0.5,null,null,40,890,56,1,3,16,null,null,null,null,null,null,1,cup,null,null,2014-12-30T08:23:39+00:00,25445
Benihana,Salmon 99.05 g,521b95434a56d006cae29803,ae4931067ff4c665ba973112,null,1,SASHIMI/NIGIRI - Salmon 99.05 g,null,192,115,12,3,0,null,null,null,12,0,null,null,19,null,null,null,null,null,null,99.05,grams,null,null,2014-12-30T08:24:58+00:00,25709
Beef o Brady's,Basket of Straight Fries with Chili Cheese Dip,513fbc1283aa2dc80c000679,516d9a41e3afed032c7dad29,null,1,Appetizers - Basket of Straight Fries with Chili Cheese Dip,null,910,470,53,14,1,null,null,30,2320,98,7,2,15,null,null,null,null,null,null,1,plating,null,null,2014-12-30T07:58:16+00:00,20362
4food,The health nut Sandwich,521b95454a56d006cae29a98,53444ea67395ed134519ef7a,null,1,BUILDBOARD - The health nut Sandwich,null,395,null,15,2,0,null,null,73,539,21,2,3,31,475,25,7,39,null,null,1,sandwich,null,null,2014-12-30T08:20:06+00:00,24708
Farmer Boys,4 pc Hand Battered Fish Dinner,513fbc1283aa2dc80c0003b1,ae49310621b86cecdb6735f3,null,1,FISH - 4 pc Hand Battered Fish Dinner,null,1933,null,102,21,0,null,null,106,3117,201,11,9,53,null,null,null,null,null,null,1,plating,null,null,2014-12-30T08:25:05+00:00,17228
The Coffee Bean,12 oz Tea Latte Over Ice Chocolate Powder,513fbc1283aa2dc80c0001ff,513fc99c927da70408006ea4,null,1,COLD DRINKS - ICED ESPRESSO & COFFEE DRINKS - Tea Latte Over Ice - 12 oz Tea Latte Over Ice Chocolate Powder,null,120,0,0,2,null,null,null,0,150,24,0,0,null,null,null,null,null,null,null,1,serving,null,null,2014-12-30T07:33:35+00:00,null
Jamba Juice,Jazzy Java Chocolate (Medium),513fbc1283aa2dc80c000040,529e7dcdf9655f6d35001ab7,null,1,,null,170,null,2.5,1.5,0,null,null,10,105,36,6,21,6,0,0,0,0,null,null,1,serving,null,null,2012-04-18T04:05:59+00:00,null
Winchell's Donut House,"Tea - Hot Brewed, 16 oz",513fbc1283aa2dc80c00022c,513fc9c4673c4fbc260003c2,null,1,"DRINKS - Tea - Hot Brewed, 16 oz",null,0,0,0,0,0,null,null,0,15,0,0,0,0,0,0,2,0,null,null,16,fl oz,454,null,2014-12-30T07:34:38+00:00,1447
Buona Restaurants,Chicken Penne Soup Cup,521b95444a56d006cae2983f,53444d247ba4ca15456f56b2,null,1,HOMEMADE SOUP - CUP - Chicken Penne Soup Cup,null,88,null,2,0,0,null,null,16,1142,9,2,3,8,null,null,null,null,null,null,1,cup,null,null,2014-12-30T08:22:36+00:00,25229
Sonic,"Java Chiller, Chocolate/Caramel (20 oz)",513fbc1283aa2dc80c000010,513fc991927da704080002f8,null,1,,null,700,290,32,22,0,null,null,125,440,94,0,68,9,25,0,30,2,null,null,1,serving,null,null,2014-12-30T07:22:08+00:00,null
Nando's Peri-Peri,Kanankop Kadette Wine 750 milliliters,513fbc1283aa2dc80c000058,52cdcdef051cb9eb32008e73,null,1,WINE - Kanankop Kadette Wine 750 milliliters,null,634,0,0,0,0,null,null,0,30,19,0,5,1,0,0,6,17,null,null,750,milliliters,null,null,2014-12-30T08:14:37+00:00,23798
Bagger DaveÛªs,Cajun and Sea Salt Tortilla Chips,521b954a4a56d006cae2a72b,ae496975eaa9684bf632448f,null,1,APPETIZERS & SIDES - Cajun and Sea Salt Tortilla Chips,null,350,140,15,1.5,0,null,null,0,560,48,3,1,5,null,null,null,null,null,null,1,Bag,null,null,2014-12-30T08:24:29+00:00,25597
The Keg Steakhouse,Chocolate Cake (Canadian Menu only),513fbc1283aa2dc80c00017c,513fc999927da70408005bc7,null,1,Desserts - Chocolate Cake (Canadian Menu only),null,816.4,null,43,13,null,null,null,null,482.4,102.3,null,null,11.7,null,null,null,null,null,null,1,serving,null,null,2014-12-30T07:31:23+00:00,null
